"WL(nm)","Spectrum","Spectrum(W/nm)",
"413.4","0.0358","4.1548e-005",
"413.6","0.0368","4.2723e-005",
"413.8","0.0378","4.3902e-005",
"414.0","0.0390","4.5193e-005",
"414.2","0.0402","4.6600e-005",
"414.4","0.0415","4.8124e-005",
"414.6","0.0428","4.9633e-005",
"414.8","0.0439","5.0938e-005",
"415.0","0.0450","5.2180e-005",
"415.2","0.0463","5.3718e-005",
"415.4","0.0477","5.5321e-005",
"415.6","0.0488","5.6631e-005",
"415.8","0.0501","5.8093e-005",
"416.0","0.0519","6.0215e-005",
"416.2","0.0538","6.2402e-005",
"416.4","0.0553","6.4137e-005",
"416.6","0.0568","6.5885e-005",
"416.8","0.0585","6.7851e-005",
"417.0","0.0601","6.9665e-005",
"417.2","0.0613","7.1146e-005",
"417.4","0.0627","7.2713e-005",
"417.6","0.0643","7.4630e-005",
"417.8","0.0662","7.6763e-005",
"418.0","0.0682","7.9061e-005",
"418.2","0.0702","8.1410e-005",
"418.4","0.0722","8.3787e-005",
"418.6","0.0742","8.6043e-005",
"418.8","0.0761","8.8257e-005",
"419.0","0.0782","9.0725e-005",
"419.2","0.0804","9.3299e-005",
"419.4","0.0826","9.5841e-005",
"419.6","0.0848","9.8332e-005",
"419.8","0.0871","1.0106e-004",
"420.0","0.0895","1.0381e-004",
"420.2","0.0918","1.0647e-004",
"420.4","0.0940","1.0903e-004",
"420.6","0.0962","1.1163e-004",
"420.8","0.0987","1.1450e-004",
"421.0","0.1016","1.1790e-004",
"421.2","0.1047","1.2140e-004",
"421.4","0.1075","1.2464e-004",
"421.6","0.1102","1.2785e-004",
"421.8","0.1128","1.3081e-004",
"422.0","0.1156","1.3403e-004",
"422.2","0.1188","1.3775e-004",
"422.4","0.1220","1.4152e-004",
"422.6","0.1250","1.4499e-004",
"422.8","0.1280","1.4848e-004",
"423.0","0.1314","1.5238e-004",
"423.2","0.1349","1.5646e-004",
"423.4","0.1383","1.6048e-004",
"423.6","0.1420","1.6473e-004",
"423.8","0.1458","1.6908e-004",
"424.0","0.1494","1.7325e-004",
"424.2","0.1529","1.7735e-004",
"424.4","0.1569","1.8197e-004",
"424.6","0.1613","1.8710e-004",
"424.8","0.1651","1.9148e-004",
"425.0","0.1686","1.9554e-004",
"425.2","0.1724","2.0003e-004",
