"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0089","1.7847e-005",
"380.2","0.0087","1.7417e-005",
"380.4","0.0081","1.6328e-005",
"380.6","0.0072","1.4535e-005",
"380.8","0.0068","1.3717e-005",
"381.0","0.0071","1.4292e-005",
"381.2","0.0073","1.4602e-005",
"381.4","0.0071","1.4301e-005",
"381.6","0.0071","1.4185e-005",
"381.8","0.0071","1.4197e-005",
"382.0","0.0068","1.3612e-005",
"382.2","0.0063","1.2730e-005",
"382.4","0.0063","1.2639e-005",
"382.6","0.0065","1.3039e-005",
"382.8","0.0065","1.3100e-005",
"383.0","0.0065","1.2970e-005",
"383.2","0.0065","1.2946e-005",
"383.4","0.0065","1.2950e-005",
"383.6","0.0064","1.2896e-005",
"383.8","0.0064","1.2767e-005",
"384.0","0.0062","1.2510e-005",
"384.2","0.0061","1.2218e-005",
"384.4","0.0060","1.1986e-005",
"384.6","0.0058","1.1626e-005",
"384.8","0.0055","1.0972e-005",
"385.0","0.0053","1.0553e-005",
"385.2","0.0053","1.0698e-005",
"385.4","0.0054","1.0814e-005",
"385.6","0.0053","1.0669e-005",
"385.8","0.0053","1.0724e-005",
"386.0","0.0055","1.1064e-005",
"386.2","0.0056","1.1149e-005",
"386.4","0.0055","1.0944e-005",
"386.6","0.0056","1.1149e-005",
"386.8","0.0058","1.1672e-005",
"387.0","0.0058","1.1653e-005",
"387.2","0.0055","1.1134e-005",
"387.4","0.0053","1.0554e-005",
"387.6","0.0050","1.0079e-005",
"387.8","0.0049","9.9233e-006",
"388.0","0.0050","1.0012e-005",
"388.2","0.0051","1.0294e-005",
"388.4","0.0053","1.0556e-005",
"388.6","0.0052","1.0492e-005",
"388.8","0.0051","1.0184e-005",
"389.0","0.0048","9.5476e-006",
"389.2","0.0045","9.0378e-006",
"389.4","0.0046","9.1925e-006",
"389.6","0.0047","9.4327e-006",
"389.8","0.0047","9.4099e-006",
"390.0","0.0046","9.3019e-006",
"390.2","0.0046","9.1445e-006",
"390.4","0.0046","9.2412e-006",
"390.6","0.0049","9.7562e-006",
"390.8","0.0051","1.0234e-005",
"391.0","0.0052","1.0463e-005",
"391.2","0.0052","1.0357e-005",
"391.4","0.0050","9.9897e-006",
"391.6","0.0050","9.9607e-006",
"391.8","0.0051","1.0313e-005",
"392.0","0.0053","1.0581e-005",
"392.2","0.0053","1.0598e-005",
"392.4","0.0050","1.0067e-005",
"392.6","0.0047","9.3405e-006",
"392.8","0.0046","9.2716e-006",
"393.0","0.0048","9.6362e-006",
"393.2","0.0050","9.9557e-006",
"393.4","0.0050","1.0128e-005",
"393.6","0.0049","9.8912e-006",
"393.8","0.0048","9.6269e-006",
"394.0","0.0049","9.8480e-006",
"394.2","0.0051","1.0215e-005",
"394.4","0.0052","1.0488e-005",
"394.6","0.0053","1.0602e-005",
"394.8","0.0052","1.0366e-005",
"395.0","0.0051","1.0180e-005",
"395.2","0.0051","1.0313e-005",
"395.4","0.0052","1.0471e-005",
"395.6","0.0052","1.0516e-005",
"395.8","0.0052","1.0479e-005",
"396.0","0.0052","1.0376e-005",
"396.2","0.0052","1.0414e-005",
"396.4","0.0053","1.0637e-005",
"396.6","0.0053","1.0709e-005",
"396.8","0.0053","1.0616e-005",
"397.0","0.0054","1.0806e-005",
"397.2","0.0056","1.1252e-005",
"397.4","0.0058","1.1559e-005",
"397.6","0.0058","1.1624e-005",
"397.8","0.0056","1.1301e-005",
"398.0","0.0054","1.0883e-005",
"398.2","0.0055","1.1030e-005",
"398.4","0.0057","1.1533e-005",
"398.6","0.0060","1.2020e-005",
"398.8","0.0062","1.2419e-005",
"399.0","0.0063","1.2566e-005",
"399.2","0.0063","1.2612e-005",
"399.4","0.0063","1.2720e-005",
"399.6","0.0064","1.2885e-005",
"399.8","0.0066","1.3196e-005",
"400.0","0.0067","1.3397e-005",
"400.2","0.0066","1.3229e-005",
"400.4","0.0065","1.3096e-005",
"400.6","0.0066","1.3230e-005",
"400.8","0.0067","1.3488e-005",
"401.0","0.0069","1.3821e-005",
"401.2","0.0070","1.4059e-005",
"401.4","0.0070","1.4139e-005",
"401.6","0.0071","1.4229e-005",
"401.8","0.0072","1.4392e-005",
"402.0","0.0073","1.4586e-005",
"402.2","0.0074","1.4799e-005",
"402.4","0.0074","1.4926e-005",
"402.6","0.0075","1.5016e-005",
"402.8","0.0076","1.5292e-005",
"403.0","0.0078","1.5681e-005",
"403.2","0.0079","1.5843e-005",
"403.4","0.0079","1.5912e-005",
"403.6","0.0081","1.6192e-005",
"403.8","0.0083","1.6604e-005",
"404.0","0.0085","1.7011e-005",
"404.2","0.0087","1.7373e-005",
"404.4","0.0087","1.7540e-005",
"404.6","0.0088","1.7723e-005",
"404.8","0.0091","1.8234e-005",
"405.0","0.0093","1.8749e-005",
"405.2","0.0095","1.9025e-005",
"405.4","0.0096","1.9208e-005",
"405.6","0.0097","1.9370e-005",
"405.8","0.0098","1.9706e-005",
"406.0","0.0102","2.0416e-005",
"406.2","0.0105","2.1073e-005",
"406.4","0.0107","2.1506e-005",
"406.6","0.0109","2.1897e-005",
"406.8","0.0111","2.2344e-005",
"407.0","0.0113","2.2781e-005",
"407.2","0.0116","2.3250e-005",
"407.4","0.0119","2.3906e-005",
"407.6","0.0123","2.4678e-005",
"407.8","0.0125","2.5165e-005",
"408.0","0.0127","2.5393e-005",
"408.2","0.0128","2.5781e-005",
"408.4","0.0131","2.6330e-005",
"408.6","0.0135","2.7018e-005",
"408.8","0.0138","2.7793e-005",
"409.0","0.0142","2.8534e-005",
"409.2","0.0146","2.9259e-005",
"409.4","0.0150","3.0052e-005",
"409.6","0.0154","3.0854e-005",
"409.8","0.0157","3.1475e-005",
"410.0","0.0160","3.2136e-005",
"410.2","0.0165","3.3092e-005",
"410.4","0.0170","3.4084e-005",
"410.6","0.0174","3.4893e-005",
"410.8","0.0177","3.5585e-005",
"411.0","0.0180","3.6066e-005",
"411.2","0.0184","3.6879e-005",
"411.4","0.0191","3.8364e-005",
"411.6","0.0198","3.9664e-005",
"411.8","0.0201","4.0368e-005",
"412.0","0.0205","4.1224e-005",
"412.2","0.0211","4.2418e-005",
"412.4","0.0218","4.3668e-005",
"412.6","0.0223","4.4859e-005",
"412.8","0.0229","4.6043e-005",
"413.0","0.0235","4.7221e-005",
"413.2","0.0242","4.8628e-005",
"413.4","0.0250","5.0164e-005",
"413.6","0.0257","5.1611e-005",
"413.8","0.0264","5.2981e-005",
"414.0","0.0271","5.4480e-005",
"414.2","0.0280","5.6134e-005",
"414.4","0.0289","5.7959e-005",
"414.6","0.0298","5.9800e-005",
"414.8","0.0306","6.1502e-005",
"415.0","0.0314","6.3040e-005",
"415.2","0.0321","6.4386e-005",
"415.4","0.0328","6.5905e-005",
"415.6","0.0340","6.8239e-005",
"415.8","0.0352","7.0573e-005",
"416.0","0.0359","7.2078e-005",
"416.2","0.0367","7.3660e-005",
"416.4","0.0378","7.5809e-005",
"416.6","0.0389","7.8169e-005",
"416.8","0.0401","8.0572e-005",
"417.0","0.0413","8.2859e-005",
"417.2","0.0423","8.4895e-005",
"417.4","0.0434","8.7193e-005",
"417.6","0.0448","9.0010e-005",
"417.8","0.0461","9.2551e-005",
"418.0","0.0472","9.4668e-005",
"418.2","0.0484","9.7242e-005",
"418.4","0.0500","1.0038e-004",
"418.6","0.0513","1.0306e-004",
"418.8","0.0525","1.0539e-004",
"419.0","0.0540","1.0848e-004",
"419.2","0.0558","1.1202e-004",
"419.4","0.0574","1.1523e-004",
"419.6","0.0588","1.1807e-004",
"419.8","0.0602","1.2083e-004",
"420.0","0.0616","1.2364e-004",
"420.2","0.0634","1.2720e-004",
"420.4","0.0652","1.3091e-004",
"420.6","0.0667","1.3395e-004",
"420.8","0.0684","1.3719e-004",
"421.0","0.0706","1.4169e-004",
"421.2","0.0729","1.4635e-004",
"421.4","0.0748","1.5012e-004",
"421.6","0.0766","1.5378e-004",
"421.8","0.0784","1.5744e-004",
"422.0","0.0805","1.6149e-004",
"422.2","0.0828","1.6615e-004",
"422.4","0.0852","1.7095e-004",
"422.6","0.0874","1.7549e-004",
"422.8","0.0896","1.7982e-004",
"423.0","0.0918","1.8424e-004",
"423.2","0.0942","1.8917e-004",
"423.4","0.0969","1.9454e-004",
"423.6","0.0999","2.0043e-004",
"423.8","0.1029","2.0645e-004",
"424.0","0.1054","2.1153e-004",
"424.2","0.1076","2.1591e-004",
"424.4","0.1103","2.2148e-004",
"424.6","0.1138","2.2841e-004",
"424.8","0.1171","2.3501e-004",
"425.0","0.1202","2.4128e-004",
"425.2","0.1230","2.4690e-004",
"425.4","0.1258","2.5249e-004",
"425.6","0.1291","2.5903e-004",
"425.8","0.1324","2.6583e-004",
"426.0","0.1356","2.7210e-004",
"426.2","0.1385","2.7796e-004",
"426.4","0.1415","2.8401e-004",
"426.6","0.1447","2.9049e-004",
"426.8","0.1485","2.9809e-004",
"427.0","0.1524","3.0588e-004",
"427.2","0.1561","3.1327e-004",
"427.4","0.1597","3.2064e-004",
"427.6","0.1637","3.2848e-004",
"427.8","0.1675","3.3617e-004",
"428.0","0.1711","3.4348e-004",
"428.2","0.1747","3.5058e-004",
"428.4","0.1782","3.5769e-004",
"428.6","0.1820","3.6536e-004",
"428.8","0.1863","3.7399e-004",
"429.0","0.1906","3.8252e-004",
"429.2","0.1944","3.9022e-004",
"429.4","0.1986","3.9854e-004",
"429.6","0.2028","4.0712e-004",
"429.8","0.2070","4.1545e-004",
"430.0","0.2112","4.2383e-004",
"430.2","0.2149","4.3137e-004",
"430.4","0.2187","4.3889e-004",
"430.6","0.2234","4.4848e-004",
"430.8","0.2289","4.5943e-004",
"431.0","0.2335","4.6861e-004",
"431.2","0.2377","4.7704e-004",
"431.4","0.2420","4.8583e-004",
"431.6","0.2468","4.9539e-004",
"431.8","0.2517","5.0520e-004",
"432.0","0.2566","5.1508e-004",
"432.2","0.2614","5.2466e-004",
"432.4","0.2665","5.3496e-004",
"432.6","0.2718","5.4561e-004",
"432.8","0.2769","5.5586e-004",
"433.0","0.2816","5.6514e-004",
"433.2","0.2863","5.7458e-004",
"433.4","0.2919","5.8580e-004",
"433.6","0.2975","5.9703e-004",
"433.8","0.3026","6.0727e-004",
"434.0","0.3080","6.1819e-004",
"434.2","0.3138","6.2992e-004",
"434.4","0.3194","6.4110e-004",
"434.6","0.3245","6.5140e-004",
"434.8","0.3298","6.6197e-004",
"435.0","0.3354","6.7314e-004",
"435.2","0.3411","6.8455e-004",
"435.4","0.3471","6.9674e-004",
"435.6","0.3532","7.0886e-004",
"435.8","0.3589","7.2030e-004",
"436.0","0.3642","7.3108e-004",
"436.2","0.3692","7.4098e-004",
"436.4","0.3751","7.5285e-004",
"436.6","0.3815","7.6569e-004",
"436.8","0.3879","7.7866e-004",
"437.0","0.3945","7.9188e-004",
"437.2","0.4004","8.0364e-004",
"437.4","0.4060","8.1482e-004",
"437.6","0.4123","8.2752e-004",
"437.8","0.4192","8.4138e-004",
"438.0","0.4250","8.5295e-004",
"438.2","0.4308","8.6476e-004",
"438.4","0.4373","8.7763e-004",
"438.6","0.4437","8.9049e-004",
"438.8","0.4491","9.0143e-004",
"439.0","0.4546","9.1255e-004",
"439.2","0.4620","9.2721e-004",
"439.4","0.4692","9.4183e-004",
"439.6","0.4749","9.5320e-004",
"439.8","0.4810","9.6553e-004",
"440.0","0.4875","9.7855e-004",
"440.2","0.4939","9.9142e-004",
"440.4","0.5003","1.0042e-003",
"440.6","0.5073","1.0181e-003",
"440.8","0.5151","1.0340e-003",
"441.0","0.5221","1.0478e-003",
"441.2","0.5284","1.0605e-003",
"441.4","0.5346","1.0729e-003",
"441.6","0.5408","1.0856e-003",
"441.8","0.5475","1.0989e-003",
"442.0","0.5548","1.1136e-003",
"442.2","0.5622","1.1284e-003",
"442.4","0.5703","1.1447e-003",
"442.6","0.5773","1.1588e-003",
"442.8","0.5841","1.1724e-003",
"443.0","0.5913","1.1869e-003",
"443.2","0.5992","1.2027e-003",
"443.4","0.6060","1.2164e-003",
"443.6","0.6130","1.2304e-003",
"443.8","0.6213","1.2471e-003",
"444.0","0.6297","1.2638e-003",
"444.2","0.6371","1.2787e-003",
"444.4","0.6447","1.2941e-003",
"444.6","0.6541","1.3129e-003",
"444.8","0.6636","1.3320e-003",
"445.0","0.6710","1.3468e-003",
"445.2","0.6790","1.3628e-003",
"445.4","0.6870","1.3790e-003",
"445.6","0.6956","1.3963e-003",
"445.8","0.7042","1.4134e-003",
"446.0","0.7129","1.4308e-003",
"446.2","0.7205","1.4462e-003",
"446.4","0.7288","1.4627e-003",
"446.6","0.7375","1.4803e-003",
"446.8","0.7462","1.4978e-003",
"447.0","0.7563","1.5180e-003",
"447.2","0.7647","1.5348e-003",
"447.4","0.7727","1.5510e-003",
"447.6","0.7806","1.5667e-003",
"447.8","0.7884","1.5823e-003",
"448.0","0.7964","1.5986e-003",
"448.2","0.8047","1.6152e-003",
"448.4","0.8145","1.6349e-003",
"448.6","0.8248","1.6556e-003",
"448.8","0.8340","1.6739e-003",
"449.0","0.8410","1.6880e-003",
"449.2","0.8482","1.7025e-003",
"449.4","0.8565","1.7192e-003",
"449.6","0.8652","1.7366e-003",
"449.8","0.8742","1.7546e-003",
"450.0","0.8816","1.7695e-003",
"450.2","0.8885","1.7834e-003",
"450.4","0.8949","1.7963e-003",
"450.6","0.9014","1.8093e-003",
"450.8","0.9105","1.8276e-003",
"451.0","0.9193","1.8451e-003",
"451.2","0.9257","1.8580e-003",
"451.4","0.9321","1.8708e-003",
"451.6","0.9396","1.8859e-003",
"451.8","0.9463","1.8993e-003",
"452.0","0.9511","1.9090e-003",
"452.2","0.9559","1.9186e-003",
"452.4","0.9614","1.9297e-003",
"452.6","0.9665","1.9399e-003",
"452.8","0.9710","1.9489e-003",
"453.0","0.9755","1.9579e-003",
"453.2","0.9801","1.9672e-003",
"453.4","0.9839","1.9748e-003",
"453.6","0.9868","1.9806e-003",
"453.8","0.9894","1.9859e-003",
"454.0","0.9919","1.9908e-003",
"454.2","0.9934","1.9940e-003",
"454.4","0.9946","1.9963e-003",
"454.6","0.9959","1.9989e-003",
"454.8","0.9975","2.0021e-003",
"455.0","0.9990","2.0052e-003",
"455.2","1.0000","2.0072e-003",
"455.4","0.9992","2.0056e-003",
"455.6","0.9980","2.0031e-003",
"455.8","0.9983","2.0038e-003",
"456.0","0.9988","2.0048e-003",
"456.2","0.9978","2.0028e-003",
"456.4","0.9960","1.9992e-003",
"456.6","0.9937","1.9945e-003",
"456.8","0.9910","1.9890e-003",
"457.0","0.9882","1.9834e-003",
"457.2","0.9856","1.9782e-003",
"457.4","0.9837","1.9744e-003",
"457.6","0.9810","1.9691e-003",
"457.8","0.9768","1.9606e-003",
"458.0","0.9719","1.9508e-003",
"458.2","0.9673","1.9415e-003",
"458.4","0.9625","1.9318e-003",
"458.6","0.9576","1.9220e-003",
"458.8","0.9525","1.9119e-003",
"459.0","0.9474","1.9016e-003",
"459.2","0.9434","1.8936e-003",
"459.4","0.9401","1.8870e-003",
"459.6","0.9346","1.8759e-003",
"459.8","0.9268","1.8603e-003",
"460.0","0.9201","1.8468e-003",
"460.2","0.9145","1.8355e-003",
"460.4","0.9079","1.8223e-003",
"460.6","0.9006","1.8075e-003",
"460.8","0.8934","1.7932e-003",
"461.0","0.8865","1.7793e-003",
"461.2","0.8801","1.7665e-003",
"461.4","0.8737","1.7537e-003",
"461.6","0.8666","1.7394e-003",
"461.8","0.8592","1.7245e-003",
"462.0","0.8521","1.7104e-003",
"462.2","0.8454","1.6969e-003",
"462.4","0.8399","1.6858e-003",
"462.6","0.8342","1.6743e-003",
"462.8","0.8258","1.6576e-003",
"463.0","0.8176","1.6410e-003",
"463.2","0.8111","1.6280e-003",
"463.4","0.8050","1.6158e-003",
"463.6","0.7985","1.6027e-003",
"463.8","0.7923","1.5902e-003",
"464.0","0.7867","1.5790e-003",
"464.2","0.7807","1.5670e-003",
"464.4","0.7738","1.5531e-003",
"464.6","0.7671","1.5396e-003",
"464.8","0.7612","1.5279e-003",
"465.0","0.7552","1.5157e-003",
"465.2","0.7485","1.5023e-003",
"465.4","0.7419","1.4890e-003",
"465.6","0.7356","1.4765e-003",
"465.8","0.7300","1.4652e-003",
"466.0","0.7250","1.4551e-003",
"466.2","0.7200","1.4451e-003",
"466.4","0.7147","1.4345e-003",
"466.6","0.7092","1.4235e-003",
"466.8","0.7037","1.4124e-003",
"467.0","0.6988","1.4027e-003",
"467.2","0.6942","1.3933e-003",
"467.4","0.6885","1.3820e-003",
"467.6","0.6825","1.3699e-003",
"467.8","0.6771","1.3590e-003",
"468.0","0.6723","1.3494e-003",
"468.2","0.6684","1.3417e-003",
"468.4","0.6647","1.3342e-003",
"468.6","0.6603","1.3254e-003",
"468.8","0.6558","1.3162e-003",
"469.0","0.6516","1.3079e-003",
"469.2","0.6475","1.2997e-003",
"469.4","0.6434","1.2914e-003",
"469.6","0.6391","1.2828e-003",
"469.8","0.6344","1.2734e-003",
"470.0","0.6301","1.2648e-003",
"470.2","0.6264","1.2574e-003",
"470.4","0.6230","1.2504e-003",
"470.6","0.6195","1.2435e-003",
"470.8","0.6158","1.2360e-003",
"471.0","0.6116","1.2276e-003",
"471.2","0.6075","1.2194e-003",
"471.4","0.6037","1.2116e-003",
"471.6","0.5995","1.2032e-003",
"471.8","0.5950","1.1943e-003",
"472.0","0.5910","1.1862e-003",
"472.2","0.5874","1.1791e-003",
"472.4","0.5841","1.1723e-003",
"472.6","0.5806","1.1654e-003",
"472.8","0.5772","1.1585e-003",
"473.0","0.5736","1.1513e-003",
"473.2","0.5696","1.1433e-003",
"473.4","0.5655","1.1350e-003",
"473.6","0.5625","1.1290e-003",
"473.8","0.5599","1.1238e-003",
"474.0","0.5565","1.1170e-003",
"474.2","0.5527","1.1093e-003",
"474.4","0.5496","1.1031e-003",
"474.6","0.5465","1.0969e-003",
"474.8","0.5425","1.0890e-003",
"475.0","0.5383","1.0804e-003",
"475.2","0.5348","1.0735e-003",
"475.4","0.5314","1.0665e-003",
"475.6","0.5273","1.0584e-003",
"475.8","0.5232","1.0502e-003",
"476.0","0.5196","1.0429e-003",
"476.2","0.5164","1.0364e-003",
"476.4","0.5137","1.0311e-003",
"476.6","0.5107","1.0251e-003",
"476.8","0.5067","1.0171e-003",
"477.0","0.5028","1.0092e-003",
"477.2","0.4994","1.0025e-003",
"477.4","0.4963","9.9608e-004",
"477.6","0.4932","9.8987e-004",
"477.8","0.4902","9.8387e-004",
"478.0","0.4870","9.7754e-004",
"478.2","0.4835","9.7044e-004",
"478.4","0.4795","9.6249e-004",
"478.6","0.4762","9.5590e-004",
"478.8","0.4736","9.5051e-004",
"479.0","0.4703","9.4403e-004",
"479.2","0.4666","9.3644e-004",
"479.4","0.4627","9.2869e-004",
"479.6","0.4592","9.2162e-004",
"479.8","0.4567","9.1675e-004",
"480.0","0.4549","9.1301e-004",
"480.2","0.4521","9.0741e-004",
"480.4","0.4487","9.0053e-004",
"480.6","0.4453","8.9384e-004",
"480.8","0.4423","8.8784e-004",
"481.0","0.4403","8.8365e-004",
"481.2","0.4384","8.7995e-004",
"481.4","0.4355","8.7419e-004",
"481.6","0.4324","8.6788e-004",
"481.8","0.4301","8.6332e-004",
"482.0","0.4279","8.5889e-004",
"482.2","0.4250","8.5311e-004",
"482.4","0.4224","8.4772e-004",
"482.6","0.4207","8.4432e-004",
"482.8","0.4189","8.4086e-004",
"483.0","0.4164","8.3585e-004",
"483.2","0.4139","8.3073e-004",
"483.4","0.4116","8.2619e-004",
"483.6","0.4095","8.2196e-004",
"483.8","0.4074","8.1767e-004",
"484.0","0.4053","8.1350e-004",
"484.2","0.4032","8.0927e-004",
"484.4","0.4015","8.0597e-004",
"484.6","0.4003","8.0348e-004",
"484.8","0.3987","8.0018e-004",
"485.0","0.3965","7.9576e-004",
"485.2","0.3948","7.9232e-004",
"485.4","0.3936","7.9003e-004",
"485.6","0.3921","7.8701e-004",
"485.8","0.3903","7.8346e-004",
"486.0","0.3888","7.8038e-004",
"486.2","0.3876","7.7796e-004",
"486.4","0.3863","7.7543e-004",
"486.6","0.3851","7.7294e-004",
"486.8","0.3841","7.7092e-004",
"487.0","0.3832","7.6915e-004",
"487.2","0.3818","7.6627e-004",
"487.4","0.3802","7.6318e-004",
"487.6","0.3793","7.6131e-004",
"487.8","0.3786","7.5988e-004",
"488.0","0.3773","7.5735e-004",
"488.2","0.3760","7.5475e-004",
"488.4","0.3757","7.5408e-004",
"488.6","0.3754","7.5354e-004",
"488.8","0.3743","7.5125e-004",
"489.0","0.3731","7.4890e-004",
"489.2","0.3727","7.4805e-004",
"489.4","0.3722","7.4697e-004",
"489.6","0.3706","7.4382e-004",
"489.8","0.3695","7.4165e-004",
"490.0","0.3698","7.4228e-004",
"490.2","0.3701","7.4275e-004",
"490.4","0.3695","7.4155e-004",
"490.6","0.3688","7.4016e-004",
"490.8","0.3683","7.3922e-004",
"491.0","0.3678","7.3821e-004",
"491.2","0.3673","7.3715e-004",
"491.4","0.3672","7.3699e-004",
"491.6","0.3676","7.3785e-004",
"491.8","0.3675","7.3763e-004",
"492.0","0.3667","7.3611e-004",
"492.2","0.3663","7.3524e-004",
"492.4","0.3663","7.3529e-004",
"492.6","0.3665","7.3561e-004",
"492.8","0.3666","7.3589e-004",
"493.0","0.3665","7.3558e-004",
"493.2","0.3662","7.3496e-004",
"493.4","0.3665","7.3552e-004",
"493.6","0.3670","7.3661e-004",
"493.8","0.3670","7.3656e-004",
"494.0","0.3667","7.3598e-004",
"494.2","0.3667","7.3607e-004",
"494.4","0.3671","7.3688e-004",
