序号,编号,备注,分级(LEVEL),白光分类(WHITE),IF(mA),VF(V),P(mW),VR(V),IR(uA),Φ(lm),Φe(mW),光效(lm/W),Ip,x,y,Tc(K),主波长(nm),色纯度(%),峰值波长(nm),半波宽(nm),红色比(%),绿色比(%),蓝色比(%),Ra,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,CRI,Date,SDCM
1,1,---,,OUT,350,3.151,1103,,,67.31,219.9,61.03,53460,0.3976,0.3795,3583,582.2,33.2,600.5,157.1,21.7,75.6,2.7,83.7,83.4,88.4,90.1,82.6,82.1,82.4,88.1,72.7,31.4,70.1,79.1,64.5,84.2,93.8,81,78.1,2015-11-09 15-04,50.8
2,1,---,,OUT,349.9,3.086,1080,,,82.52,257.1,76.4,58442,0.3099,0.3476,6518,499.7,7.2,455.2,36.7,12.9,81.7,5.4,77.2,71.7,84,91.9,72,73.3,79,86.2,59.7,-26,62.3,68.3,52.3,75,95.3,64.9,67.5,2015-11-09 15-10,102.9
